metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6295,0.525,0.5731666666666667,0.649
avg_detection_time,7.663325468699137e-05,3.9512117703755695e-05,4.179426034291585e-05,0.00015392347176869712
f1,0.41143764892772045,0.09523809523809523,0.2553067752253562,0.4591679506933744
false_negatives,2223,2850,2561,2106
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.259,0.05,0.14633333333333334,0.298
sensitivity,0.259,0.05,0.14633333333333334,0.298
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,777,150,439,894
